"","Sample_ID","ssGSEA_patient_epi_score","ssGSEA_patient_mes_score","ssGSEA_cell_epi_score","ssGSEA_cell_mes_score","ssGSEA_overlap_epi_score","ssGSEA_overlap_mes_score","SingScore_TotalScore","SingScore_mes_score","SingScore_epi_score"
"86","mel096",0.210762567337639,0.613322933076782,0.264830427439878,0.748338685217415,0.168548929713622,0.765229539948259,0.219132091242919,0.290262099322852,-0.0711300080799322
"87","mel097",0.301446921892601,0.668045148641724,0.371593979551207,0.714069898574026,0.29282939609272,0.735344673384602,0.185163479584193,0.316977473632633,-0.13181399404844
"88","mel098",0.169053586264054,0.701466859161792,0.217454453280669,0.746933627130182,0.0986744752675843,0.769723993450545,0.299282169571129,0.333760816872235,-0.0344786473011056
"89","mel099",0.160569591459715,0.501529869675369,0.17596088072799,0.69447938154754,0.100757694690375,0.709491656678043,0.198016918267125,0.230656149294065,-0.0326392310269397
"90","mel100",0.195788520066884,0.659143120042873,0.230014295954454,0.735138329026486,0.127667056628968,0.762818655211392,0.267316524447253,0.313380513568906,-0.0460639891216522
"91","mel101",0.218468824076325,0.591182861283632,0.230257361965776,0.699987262819008,0.151069605266337,0.733561262682661,0.21931884351293,0.27784711342208,-0.05852826990915
"92","mel102",0.192279091510002,0.516092558825863,0.201690271852672,0.752890924130441,0.0947414464108564,0.74164814265639,0.200801864739883,0.23416311653816,-0.0333612517982776
"93","mel103",0.182351295761963,0.619058153163355,0.212580044824256,0.712664712878398,0.115359439263,0.750807104308926,0.255422319710751,0.292374707232183,-0.0369523875214316
"94","mel104",0.181624451284977,0.564338046407462,0.182294226020278,0.693282878316278,0.0952144790755091,0.723182183024966,0.230799420706573,0.263695583724132,-0.032896163017559
"95","mel105",0.202612713309646,0.651027238401074,0.213985837736612,0.72206198509033,0.126665856010511,0.746340227747138,0.263800951822073,0.31009058783098,-0.0462896360089077
"96","mel106",0.280218392527658,0.482678964407915,0.298441280420984,0.690280093199284,0.246560475756913,0.687607416834429,0.116948735715734,0.224953780746576,-0.108005045030842
"97","mel107",0.205176193872731,0.599338261864351,0.227588790359665,0.744325272129108,0.131882206560451,0.7263917908433,0.229207196164666,0.281949939006043,-0.0527427428413771
"98","mel108",0.300605940412497,0.558608670824092,0.309054821681992,0.668536417960501,0.247232103133033,0.677739381127153,0.139620899777904,0.263482565426368,-0.123861665648464
"99","mel109",0.134282986209628,0.668071499583352,0.180784165657621,0.794780451596133,0.0496771489470641,0.813274174781708,0.296277605596028,0.316392202683311,-0.020114597087283
"100","mel110",0.214236496146198,0.413559574327684,0.223261287797423,0.628583831928854,0.18881749564744,0.654987136410541,0.101349861092418,0.183370533894578,-0.0820206728021599
"101","mel111",0.316125136322442,0.618480996689369,0.321388615119392,0.737322198237468,0.279785271953467,0.763025674038574,0.15483728487236,0.292742513179713,-0.137905228307353
"102","mel112",0.150584188960834,0.680563562955864,0.180928480196564,0.806622932885064,0.0670787157898798,0.777870804300886,0.295892768594101,0.323641177241599,-0.0277484086474982
"103","mel113",0.230806933111509,0.598676712945472,0.249759777682604,0.87489740493456,0.164327767300208,0.86408643976813,0.182660730692237,0.277190271712674,-0.0945295410204363
"104","mel114",0.62173477983031,0.550342123266596,0.676583159892742,0.693015165756695,0.668268590569949,0.710842143455328,-0.0352502853663159,0.253871120541888,-0.289121405908204
"105","mel115",0.0631676563373125,0.721887455003648,0.107613360222906,0.817534027295267,-0.0419642449814507,0.842459876653764,0.360218824378484,0.34172316980544,0.0184956545730446
"106","mel116",0.192251785578237,0.590838416561264,0.160793568194721,0.747975018030749,0.0971070309712052,0.746166616250431,0.237856892291845,0.277768554984236,-0.0399116626923911
"107","mel117",0.186709300652303,0.716737027539629,0.255588538769013,0.770578734503787,0.126003591125535,0.771125417630603,0.301401974489948,0.342551738989484,-0.0411497644995369
"108","mel118",0.142468296489593,0.588843965243923,0.158223725819276,0.76044171650443,0.0591186668348563,0.787493408641558,0.265606401541238,0.276281026612677,-0.0106746250714385
