"","MEblue","MEcyan","MEpink","MEturquoise","MEgrey60","MEpurple","MEred","MEyellow","MEmagenta","MEblack","MEmidnightblue","MEgreen","MElightcyan","MEtan","MEgreenyellow","MEbrown","MEsalmon","MEgrey"
"mel122",-0.0864957772701205,0.0036026359920881,0.00317431736150242,0.00987137107187753,-0.0120551859115621,0.00799973377131195,-0.0216319215609193,-0.00209635538554719,0.0400203948407544,0.07170512300884,0.0570282433528913,-0.0229361717890282,-0.00769524100302298,-0.0118474813961938,0.0328438904596432,0.00987152437238836,0.0350436477782477,-0.0265958506990709
"mel213",-0.0441111830419053,0.0190306321099493,-0.0415319107875972,-0.00444242482997062,-0.0126028388617493,0.0364999066681225,-0.00376332698121172,0.0478481670672159,0.0373064312961299,0.047896396772174,0.0300122158822572,0.0254880018467286,0.00625835541702663,-0.0210909591879254,0.00312207387694491,-0.00397924034658799,0.0286917669201643,0.0277153428143696
"mel182",-0.0965614652324063,-0.0239297539903731,0.0470538345657872,0.0418345829538021,-0.00612995958620731,0.0194008052742292,-0.0160476592325673,-0.01254847662286,0.108789861251012,0.061672335045625,0.0890423965900602,0.0169794661150765,0.00117468728048818,-0.0375254100277933,-0.0781095121784848,-0.000487027802404142,0.00481779134959914,0.0448627076405434
"mel076",-0.00343235766813523,-0.0549347703174598,-0.0193053506705204,0.0113605510489002,-0.024618915498373,0.0189515555469295,-0.011532852480025,-0.0249414065466283,0.0819303243175709,-0.00675538605914005,0.0299760639076031,-0.0802588063844652,-0.0944147263929937,-0.0936519088791343,-0.0672478739889552,-0.0101961884217706,0.00140228308639689,0.15905333889915
"mel310",-0.121963321803742,0.00931020333260239,0.0449124746428766,-0.167165433826365,0.0142871927864522,-0.0319392008824611,-0.00809449427066568,-0.0591975194412258,-0.104883151024564,-0.0478871166262813,0.0217198848360678,0.0760615261980871,0.0408431060990456,0.0790371097764388,0.0730736047752609,0.130397687340931,0.0785628894432399,-0.0567399430182201
"mel097",0.0344903003228802,-0.0594001028653589,-0.0711411535973518,-0.00494443484363635,-0.000812883309369878,0.0612200850772799,0.0474023789449496,0.11661722232309,0.0222163050003132,0.0263937547338622,-0.0166003626569017,0.0594957009977219,0.0114369275905029,-0.04290965889131,-0.0184046821003339,-0.0580077069463398,0.0404728247497335,0.00792214581354184
"mel412",-0.02306780945159,-0.0261902668801605,0.0468633813810223,0.0239296370324086,-0.00513840600914252,0.00980798864813992,0.0538369226800307,-0.0239595647740155,-0.0165486093405226,0.0106189507013878,-0.0207796747823446,0.0123145530616119,-0.0205798946927846,-0.0358099283542538,0.0264191857764162,-0.00509923608033575,-0.00999059149283966,-0.0520345617468191
"mel164",-0.0976150882505891,-0.113672347359848,-0.100269155831,-0.159983831341881,0.0616352364573799,0.0691430066992361,7.96546315497601e-05,0.109916818356773,0.0400285981530631,0.137957574599288,0.136363100495815,0.0106461629758525,0.0104696957043859,0.0103713345774956,-0.0823009899490983,0.0568583406557911,0.174764673793683,0.0165430636865028
"mel397",0.0285054479063776,0.0255829700462643,0.0668211483768735,0.0644315479097388,-0.0301777881494712,-0.0561043236418342,-0.0343611361959664,-0.0290431985617261,-0.00680713855810147,-0.0482512278105355,-0.0757818170276451,0.112112567331487,0.0534828931560381,0.0290300259440565,0.0197292350137488,-0.0408262994498295,-0.0793378245315285,0.000685223004890673
"mel186",0.00455184198312174,0.0615507508848335,-0.0046178968047607,0.0050625467003309,-0.0138511385864426,-0.00340192339561826,-0.0180830283549575,-0.0366134623344807,0.0578506489474141,-0.00879598946401258,0.0181339024539806,0.0756696220530914,0.0143242777371146,-0.0101103348603702,-0.107788435770053,-0.00131255784124002,-0.00977337725736039,0.0732305644480036
