"","V1","V2","V3","V4","V5","V6","V7","V8"
"cell_type","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel183","3.524870e-04","1.625845e-02","9.828364e-02","5.491775e-02","8.113430e-02","9.604082e-03","4.717238e-11","7.394493e-01"
"mel204","2.169313e-08","2.519642e-02","1.862388e-01","9.007618e-06","1.178476e-01","1.340382e-02","3.361023e-05","6.572707e-01"
"mel188","2.375609e-10","2.726269e-02","2.071482e-01","1.934586e-02","1.416341e-01","1.237105e-02","6.518161e-06","5.922316e-01"
"mel248","2.530446e-02","1.905553e-02","1.519748e-01","9.540549e-02","9.497537e-02","1.119689e-02","1.819992e-09","6.020874e-01"
"mel154","1.385675e-08","2.179595e-02","1.621953e-01","5.583684e-08","1.301513e-01","1.101519e-02","1.125077e-08","6.748422e-01"
"mel133","5.767003e-02","2.281375e-02","2.468357e-01","6.462971e-02","1.594261e-01","9.555256e-03","1.200606e-08","4.390694e-01"
"mel106","1.205441e-09","2.476465e-02","1.388256e-01","5.146049e-08","1.079293e-01","7.639707e-03","5.488935e-06","7.208352e-01"
"mel413","1.130517e-08","2.364979e-02","2.036809e-01","1.953110e-02","9.119797e-02","1.015499e-02","2.967776e-09","6.517852e-01"
"mel181","5.741782e-02","1.879771e-02","2.471016e-01","1.347720e-01","1.075400e-01","1.651557e-02","1.076685e-10","4.178554e-01"
"mel420","3.916763e-02","2.516229e-02","1.499032e-01","1.329391e-01","1.336341e-01","1.091007e-02","7.262027e-11","5.082835e-01"
"mel407","5.087300e-07","2.059031e-02","1.660634e-01","1.140443e-09","1.487308e-01","7.931075e-03","1.356565e-09","6.566839e-01"
"mel339","8.774587e-02","2.646830e-02","2.608998e-01","1.320737e-01","1.200240e-01","1.272964e-02","1.374794e-10","3.600586e-01"
"mel414","2.615982e-02","1.939245e-02","9.141888e-02","6.802569e-02","1.374520e-01","1.152939e-02","1.158870e-08","6.460218e-01"
"mel442","0.0214127332","0.0218699665","0.2759226652","0.1332713179","0.1647943353","0.0144096429","0.0006422133","0.3676771258"
"mel214","2.065645e-10","2.841624e-02","1.310642e-01","5.831997e-02","1.385743e-01","1.309887e-02","1.482108e-08","6.305264e-01"
"mel121","1.766231e-02","2.189172e-02","2.240553e-01","9.066975e-02","1.223177e-01","1.049252e-02","4.176742e-10","5.129107e-01"
"mel434","2.851639e-10","1.706093e-02","1.816832e-01","2.076309e-02","4.168975e-02","9.374366e-03","8.067822e-06","7.294206e-01"
"mel114","2.136747e-03","1.763739e-02","2.195049e-01","2.255060e-02","1.060479e-01","9.229356e-03","2.391777e-10","6.228931e-01"
"mel368","3.635729e-02","2.380587e-02","2.440437e-01","1.677430e-01","1.257005e-01","1.613297e-02","2.060780e-12","3.862167e-01"
"mel145","2.622825e-02","2.533506e-02","2.414060e-01","5.713447e-02","1.800765e-01","1.110808e-02","2.319739e-06","4.587093e-01"
"mel017","1.678664e-02","2.889905e-02","2.469279e-01","2.328143e-08","2.117289e-01","1.242208e-02","1.354703e-08","4.832354e-01"
"mel038","4.157051e-09","2.145645e-02","5.871496e-02","8.516329e-09","1.152965e-01","3.920731e-03","1.776713e-08","8.006114e-01"
