"","Module","ENSEMBL","Symbol","ncbi","kTotal","kWithin","kOut","kDiff"
"ENSG00000005483","turquoise","ENSG00000005483","KMT2E","55904",882.949561360661,422.973346993199,459.976214367462,-37.002867374263
"ENSG00000005486","brown","ENSG00000005486","RHBDD2","57414",787.244123094403,334.418648709512,452.825474384891,-118.406825675379
"ENSG00000005513","grey","ENSG00000005513","SOX8","30812",557.400029097326,NA,NA,NA
"ENSG00000005700","turquoise","ENSG00000005700","IBTK","25998",1153.42717171944,637.762093628674,515.665078090766,122.097015537908
"ENSG00000005801","turquoise","ENSG00000005801","ZNF195","7748",1137.26605706526,479.625042674036,657.641014391228,-178.015971717193
"ENSG00000005810","turquoise","ENSG00000005810","MYCBP2","23077",781.903299117143,341.9551118617,439.948187255443,-97.9930753937429
"ENSG00000005812","turquoise","ENSG00000005812","FBXL3","26224",1270.90054417156,699.868541671878,571.032002499685,128.836539172193
"ENSG00000005844","yellow","ENSG00000005844","ITGAL","3683",1178.9037550897,758.392966130451,420.510788959247,337.882177171204
"ENSG00000005882","brown","ENSG00000005882","PDK2","5164",605.926573238534,213.197617194845,392.728956043689,-179.531338848844
"ENSG00000005884","grey","ENSG00000005884","ITGA3","3675",546.198573885817,NA,NA,NA
"ENSG00000005889","turquoise","ENSG00000005889","ZFX","7543",1145.55004873864,635.374820953461,510.175227785184,125.199593168277
"ENSG00000005893","turquoise","ENSG00000005893","LAMP2","3920",648.570289405902,220.064102018055,428.506187387848,-208.442085369793
"ENSG00000005961","grey","ENSG00000005961","ITGA2B","3674",588.806437528275,NA,NA,NA
"ENSG00000005981","grey","ENSG00000005981","ASB4","51666",554.834209099348,NA,NA,NA
"ENSG00000006007","grey","ENSG00000006007","GDE1","51573",565.954911819296,NA,NA,NA
"ENSG00000006015","brown","ENSG00000006015","REX1BD","55049",816.002307584021,334.110996641906,481.891310942115,-147.780314300209
"ENSG00000006016","midnightblue","ENSG00000006016","CRLF1","9244",601.630818071091,15.1147688766683,586.516049194423,-571.401280317755
"ENSG00000006025","grey","ENSG00000006025","OSBPL7","114881",543.906868453542,NA,NA,NA
"ENSG00000006042","grey","ENSG00000006042","TMEM98","26022",555.16650786488,NA,NA,NA
"ENSG00000006047","grey","ENSG00000006047","YBX2","51087",542.354543854751,NA,NA,NA
"ENSG00000006059","grey60","ENSG00000006059","KRT33A","3883",626.524961225525,22.8617408603921,603.663220365133,-580.801479504741
"ENSG00000006062","yellow","ENSG00000006062","MAP3K14","9020",657.86303090881,243.827903325134,414.035127583676,-170.207224258542
"ENSG00000006071","grey","ENSG00000006071","ABCC8","6833",554.314180434907,NA,NA,NA
"ENSG00000006118","grey","ENSG00000006118","TMEM132A","54972",528.932897983502,NA,NA,NA
"ENSG00000006125","pink","ENSG00000006125","AP2B1","163",562.004192321078,52.6186511720196,509.385541149059,-456.766889977039
"ENSG00000006128","grey","ENSG00000006128","TAC1","6863",562.650261394573,NA,NA,NA
"ENSG00000006194","grey","ENSG00000006194","ZNF263","10127",523.188019405612,NA,NA,NA
"ENSG00000006210","grey","ENSG00000006210","CX3CL1","6376",531.863466215342,NA,NA,NA
"ENSG00000006282","brown","ENSG00000006282","SPATA20","64847",676.032687770245,259.288485448906,416.744202321339,-157.455716872432
"ENSG00000006283","midnightblue","ENSG00000006283","CACNA1G","8913",598.643482747398,15.6588390468856,582.984643700512,-567.325804653626
"ENSG00000006327","salmon","ENSG00000006327","TNFRSF12A","51330",624.36290124624,23.3631158369466,600.999785409293,-577.636669572346
"ENSG00000006377","grey","ENSG00000006377","DLX6","1750",566.168737679053,NA,NA,NA
"ENSG00000006432","purple","ENSG00000006432","MAP3K9","4293",580.113534154799,16.9539060683117,563.159628086488,-546.205722018176
"ENSG00000006451","turquoise","ENSG00000006451","RALA","5898",670.087371164497,261.817198885248,408.270172279249,-146.452973394
"ENSG00000006453","brown","ENSG00000006453","BAIAP2L1","55971",592.587544352967,160.524035276717,432.06350907625,-271.539473799533
"ENSG00000006459","turquoise","ENSG00000006459","KDM7A","80853",1045.23901820902,434.686229473379,610.55278873564,-175.866559262261
"ENSG00000006468","turquoise","ENSG00000006468","ETV1","2115",745.218460654806,278.449637975781,466.768822679025,-188.319184703243
"ENSG00000006530","grey","ENSG00000006530","AGK","55750",555.552636158148,NA,NA,NA
"ENSG00000006534","salmon","ENSG00000006534","ALDH3B1","221",623.180930841925,24.4782095803772,598.702721261547,-574.22451168117
"ENSG00000006555","red","ENSG00000006555","TTC22","55001",848.19564724002,122.753036690015,725.442610550005,-602.68957385999
