"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","entrez_symbol"
"ENSG00000075188",0.00642202550645354,3.64219590365207,0.10616699996599,0.915500561328944,0.948140061667085,-7.45483903497234,"NUP37","79023"
"ENSG00000224812",0.0150226110721485,-2.43165356312046,0.106100296744882,0.91555345167924,0.948146152767434,-6.9885427868962,"TMEM72-AS1","220980"
"ENSG00000275882",0.0155451273475844,-4.50323236767507,0.106077501083473,0.915571526912128,0.948146152767434,-6.94177242255175,"IKBKGP1","246210"
"ENSG00000271161",-0.0156490290945417,-3.4889229723747,-0.105917824743114,0.915698139383403,0.94824356657218,-6.96070712854335,"BOLA2P2","106480322"
"ENSG00000227014",0.0205317472892186,-2.71207411285987,0.105875966177264,0.915731330732693,0.948244235427648,-6.98018356451762,NA,NA
"ENSG00000228071",-0.0148662794041172,-2.41439368009085,-0.105737364963943,0.91584123429074,0.948324337276814,-6.98941890516116,"RPL7P47","146110"
"ENSG00000197746",-0.0105835672455168,11.278597462505,-0.105633175441478,0.915923852229656,0.948376181049904,-8.07308106496382,"PSAP","5660"
"ENSG00000122566",0.00446574432908697,9.56013327560976,0.10557829056752,0.915967374008528,0.948387541190919,-7.96824267517192,"HNRNPA2B1","3181"
"ENSG00000254038",0.0256248408577111,-3.71260625774264,0.10522924456628,0.916244161148131,0.948640413603352,-6.955335323834,NA,NA
"ENSG00000196440",-0.0153057036732678,3.2515772180699,-0.105037735507683,0.916396028684953,0.94876393617244,-7.40616913865916,"ARMCX4","100131755"
"ENSG00000182048",0.0177496673995563,-3.11624940284803,0.104954704236936,0.916461873804586,0.948798392323861,-6.96950112281241,NA,NA
"ENSG00000184154",-0.00975439880419593,1.73882190320325,-0.104912716591549,0.916495170894851,0.948799150767211,-7.23289387737779,"LRRC51","120356739"
"ENSG00000273151",0.0164069296701403,1.00909001115288,0.104728836969253,0.916640993052917,0.948903567966823,-7.16394091708772,NA,NA
"ENSG00000261242",-0.0131910352265461,-3.85272803301933,-0.104686980223691,0.916674187124357,0.948903567966823,-6.95293434396495,NA,NA
"ENSG00000146049",-0.0211806697981771,-4.77286140881917,-0.104650700153489,0.916702958787398,0.948903567966823,-6.93866433487171,"KAAG1","353219"
"ENSG00000197563",0.0084873382590196,4.89779153379503,0.104621261115417,0.916726305296888,0.948903567966823,-7.60024641212311,"PIGN","23556"
"ENSG00000259969",-0.0248541692149635,-1.65711289459394,-0.104118504773202,0.917125025280076,0.949282558405638,-7.01351065149223,NA,NA
"ENSG00000172955",0.0177773239196326,-2.77204433569847,0.104003629717451,0.917216131954416,0.949343133947562,-6.97874815981335,"ADH6","130"
"ENSG00000042429",0.00717519334287453,1.73514111668795,0.103956939545011,0.917253161944423,0.949347736365056,-7.23154992476456,"MED17","9440"
"ENSG00000151287",-0.0109398763766819,2.5240767344519,-0.103885650787932,0.917309701426921,0.949372529865543,-7.3169787007187,"TEX30","93081"
"ENSG00000143409",0.00987140014584131,5.05171615897323,0.103369941514152,0.917718725605905,0.94972124091648,-7.61611045128352,"MINDY1","55793"
"ENSG00000224063",-0.0258556097028664,-3.39484535012873,-0.103323005460222,0.917755953056234,0.94972124091648,-6.96331752809895,NA,NA
"ENSG00000260651",0.0148411528867536,-4.78703701344683,0.103311701231007,0.917764919061377,0.94972124091648,-6.93843906425267,NA,NA
"ENSG00000173926",0.0162643021822295,2.50426489605269,0.103296444341345,0.917777020155286,0.94972124091648,-7.31398146808844,"MARCHF3","115123"
"ENSG00000236348",-0.0149404105548196,-5.84961760550925,-0.103028577474061,0.917989483485689,0.949892230182289,-6.92717428230673,"PSMC1P10","388925"
"ENSG00000136816",-0.00594267431856021,4.65188307363042,-0.103005910886559,0.918007462159283,0.949892230182289,-7.57495131899575,"TOR1B","27348"
"ENSG00000002016",-0.00758854889834959,2.95223566594284,-0.102872504344872,0.918113278351783,0.949952949604324,-7.36960299753823,"RAD52","5893"
"ENSG00000142552",-0.0217956474968446,5.13734573677634,-0.102835667973812,0.91814249669974,0.949952949604324,-7.62859840985812,"RCN3","57333"
"ENSG00000269068",-0.0175423173382372,-5.05297400412721,-0.102808614090849,0.918163955718265,0.949952949604324,-6.93550424698149,NA,NA
"ENSG00000226921",-0.0150884735694854,-6.41596325319955,-0.102416205599398,0.918475219091531,0.950241246482879,-6.92263674767958,"LINC00454","100874178"
"ENSG00000270427",0.0146072574592098,-3.62005134100124,0.102231205901973,0.918621967541034,0.95035932415849,-6.95774519166942,NA,NA
"ENSG00000263531",0.0142922242600734,-3.85400112524261,0.10207420617482,0.918746507584109,0.950454418582964,-6.9528888496819,NA,NA
"ENSG00000183134",0.0174113341516224,-2.00263644469968,0.101954540171693,0.918841433992034,0.950518871677326,-7.00202244009073,"PTGDR2","11251"
"ENSG00000101489",-0.0194712864120503,-2.48333412393245,-0.101867189480414,0.91891072664707,0.950556803649402,-6.98796515070281,"CELF4","56853"
"ENSG00000220472",0.0139092536491885,-1.82160584337525,0.101734054647379,0.919016339662307,0.950595649161715,-7.00795452290855,"RPS3P4","100270862"
"ENSG00000287007",0.02366279285933,-4.16347141765871,0.101683547543987,0.919056406242317,0.950595649161715,-6.94726884070457,NA,NA
"ENSG00000272922",0.0184357176030838,-4.44306490190293,0.101672123188605,0.919065469052557,0.950595649161715,-6.94304517620146,NA,NA
"ENSG00000153902",0.030459374129042,4.00290254186426,0.101655339312313,0.91907878352847,0.950595649161715,-7.4976890212364,"LGI4","163175"
"ENSG00000184357",0.0185129005474147,-3.76705432942499,0.10158901447227,0.91913139856259,0.950606389896734,-6.9546702591404,"H1-5","3009"
"ENSG00000149532",-0.00539649342173476,6.39807792414689,-0.101559993004262,0.919154421203006,0.950606389896734,-7.73973276213274,"CPSF7","79869"
"ENSG00000270110",0.0195126800992336,-3.2005613347438,0.101409219652532,0.919274030328723,0.95069634570893,-6.96767723728694,NA,NA
"ENSG00000173275",-0.00909704268344758,2.79849509299894,-0.101360982292747,0.919312297613635,0.950702175880985,-7.35002698880826,"ZNF449","203523"
"ENSG00000158604",0.00663671052803583,7.03465030796767,0.101249144774087,0.919401020400376,0.950760182089986,-7.79045525593347,"TMED4","222068"
"ENSG00000049860",0.0081777801006373,7.28643077927111,0.10116332931548,0.919469100085039,0.950796837736999,-7.80944791875362,"HEXB","3074"
"ENSG00000232809",-0.0192266995199493,-5.46819488594943,-0.101101966621198,0.91951778110499,0.950808689096055,-6.93118322557679,NA,NA
"ENSG00000230918",0.0187813397167247,-5.22381902985276,0.101066613669543,0.919545827888133,0.950808689096055,-6.93359229014806,NA,NA
"ENSG00000273747",0.015083550650806,-3.62154400639177,0.101016734129716,0.919585399313168,0.950815862677471,-6.9578400977931,NA,NA
"ENSG00000275029",0.0147679949408381,-4.54535599549133,0.10090206751608,0.919676369661198,0.950846563984673,-6.94175852836467,NA,NA
"ENSG00000170632",0.00649489142936588,5.10594361585654,0.100897035597684,0.919680361739843,0.950846563984673,-7.62195928444736,"ARMC10","83787"
"ENSG00000273576",-0.0114230490132098,0.511673996128475,-0.100688961505008,0.919845439354768,0.950983490207952,-7.12632184684353,NA,NA
"ENSG00000249664",-0.0169239786479931,-4.97864657974141,-0.100356107751853,0.920109519338306,0.951222756819391,-6.93661399591472,NA,NA
"ENSG00000100031",0.0203513785527702,-3.49918618148832,0.100090824163613,0.920319996741765,0.95140659328229,-6.96062617004193,"GGT1","2678"
"ENSG00000230325",-0.0150191768325101,-4.69498914437721,-0.0999126071300247,0.920461398226493,0.951422750269516,-6.94009743791856,NA,NA
"ENSG00000013374",0.00663611032029365,6.24988364685973,0.0999119546217083,0.920461915946207,0.951422750269516,-7.72674262212672,"NUB1","51667"
"ENSG00000178252",-0.00791358339581727,6.66429914051245,-0.0998996340632065,0.920471691454051,0.951422750269516,-7.76144090235977,"WDR6","11180"
"ENSG00000186001",0.00613896405417336,5.57447423378091,0.0998857794283464,0.920482684159391,0.951422750269516,-7.66759940157673,"LRCH3","84859"
"ENSG00000101323",0.0187840134622572,-5.85413965445713,0.0998230093170122,0.920532488141339,0.951422750269516,-6.9272813041644,"HAO1","54363"
