"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"mel459","0.034414964","0.000000000","0.005249295","0.259110859","0.000000000","0.049222677","0.000000000","0.000000000","0.009426594","0.000000000","0.642575611"
"mel439","0.01783565","0.08545350","0.01100782","0.12419342","0.05029194","0.02793476","0.00000000","0.03342923","0.02858912","0.00000000","0.62126457"
"mel084","0.01677448","0.00000000","0.00000000","0.48333961","0.00000000","0.08255715","0.00000000","0.00000000","0.02500061","0.00000000","0.39232816"
"mel026","0.02827194","0.03130242","0.00000000","0.20419584","0.09348050","0.02132493","0.11301398","0.01434386","0.02464568","0.00000000","0.46942084"
"mel353","0.02891213","0.00000000","0.00000000","0.43558740","0.00000000","0.10298033","0.00000000","0.00000000","0.03422908","0.00000000","0.39829105"
"mel159","0.038847115","0.013408849","0.027036294","0.025591180","0.066181125","0.013324954","0.191741338","0.001289592","0.021178022","0.000000000","0.601401532"
"mel199","0.0053433651","0.0136330783","0.0245588789","0.0605001478","0.0296291656","0.0177638831","0.0712459692","0.0002419178","0.0162041553","0.0979471928","0.6629322460"
"mel253","0.02311698","0.00000000","0.02200802","0.27342844","0.00000000","0.06291037","0.08963017","0.00000000","0.02064458","0.00000000","0.50826143"
"mel123","0.012521518","0.006634308","0.000000000","0.273850333","0.000000000","0.033364016","0.000000000","0.000000000","0.087234001","0.000000000","0.586395824"
"mel168","0.0114407621","0.0036292157","0.0285726511","0.0000000000","0.2747957085","0.0199143771","0.0000000000","0.0002439722","0.0090070530","0.0022742181","0.6501220421"
"mel108","0.021482911","0.004137031","0.013849068","0.000000000","0.236234518","0.003946433","0.063611117","0.005641620","0.008937936","0.031216621","0.610942745"
"mel110","0.019013770","0.000000000","0.002289016","0.000000000","0.135443056","0.014610802","0.030582798","0.000000000","0.006922530","0.095860191","0.695277837"
"mel078","0.016479783","0.014246720","0.015195773","0.000000000","0.376479276","0.007259238","0.000000000","0.016845367","0.018802348","0.000000000","0.534691494"
"mel200","0.000000e+00","5.333507e-02","0.000000e+00","7.166374e-01","0.000000e+00","7.247952e-02","0.000000e+00","1.575480e-01","0.000000e+00","0.000000e+00","2.220446e-16"
"mel079","0.020608427","0.000000000","0.000000000","0.366940715","0.000000000","0.070245601","0.045700665","0.000000000","0.009914916","0.000000000","0.486589676"
"mel203","0.03760423","0.00000000","0.00000000","0.44708629","0.00000000","0.07315800","0.00000000","0.00000000","0.00362099","0.00000000","0.43853050"
"mel360","0.02523782","0.08895657","0.00000000","0.22518463","0.00000000","0.05172793","0.00000000","0.02707095","0.04224497","0.00000000","0.53957713"
"mel333","0.009056481","0.013613394","0.012602936","0.111665653","0.097338236","0.022525771","0.066569757","0.000000000","0.009560765","0.054606098","0.602460910"
"mel115","0.04896906","0.00000000","0.00000000","0.50153196","0.00000000","0.09705717","0.00000000","0.00000000","0.00000000","0.00000000","0.35244180"
"mel303","0.026114463","0.146361758","0.004828181","0.277291090","0.000000000","0.040202089","0.015875382","0.023016143","0.043306902","0.000000000","0.423003991"
"mel371","0.06046439","0.04308329","0.05616598","0.17139393","0.00000000","0.04990968","0.03649818","0.03466708","0.04658734","0.04624758","0.45498254"
"mel255","0.03910783","0.02358140","0.03197157","0.00000000","0.28197116","0.01689864","0.01349824","0.02864676","0.02541354","0.01484980","0.52406106"
"mel392","0.020877001","0.009353252","0.007612235","0.000000000","0.503881289","0.007115974","0.021461117","0.004589202","0.009978304","0.000000000","0.415131626"
"mel135","0.05334791","0.00000000","0.00000000","0.31009277","0.00000000","0.06678407","0.00000000","0.00000000","0.01645770","0.00000000","0.55331755"
"mel282","0.05191451","0.07054334","0.00000000","0.45118766","0.00000000","0.07975775","0.00000000","0.09094002","0.05165953","0.00000000","0.20399720"
"mel249","0.0227547581","0.0000000000","0.0000000000","0.5511238286","0.0000000000","0.0718246438","0.0232272561","0.0003535615","0.0042503174","0.0000000000","0.3264656344"
"mel318","0.03461257","0.05071981","0.00000000","0.18538279","0.00000000","0.06412762","0.00000000","0.08015747","0.12007132","0.04093543","0.42399299"
"mel435","0.000000000","0.044439438","0.000000000","0.630550465","0.000000000","0.084895216","0.000000000","0.000000000","0.009676913","0.000000000","0.230437968"
"mel405","0.03236464","0.16037277","0.00000000","0.35980170","0.00000000","0.04479995","0.00000000","0.15165468","0.04041030","0.00000000","0.21059598"
"mel127","0.02397119","0.04744425","0.03491191","0.04599165","0.12632306","0.01938323","0.00000000","0.13666502","0.02804375","0.01563054","0.52163540"
"mel101","0.04008399","0.05764635","0.00000000","0.17642175","0.00000000","0.02665691","0.00000000","0.08791026","0.02682892","0.00000000","0.58445182"
"mel137","0.02840183","0.05229633","0.00000000","0.35625780","0.04340677","0.06882842","0.00000000","0.05599492","0.02629921","0.00000000","0.36851471"
"mel085","0.49751863","0.02141079","0.03912050","0.00000000","0.00000000","0.01935597","0.28459104","0.05778735","0.05507971","0.02513602","0.00000000"
"mel129","0.14921146","0.00000000","0.00000000","0.40512719","0.00000000","0.07286185","0.12961579","0.05514098","0.06256322","0.00000000","0.12547951"
"mel379","0.008543799","0.000000000","0.000000000","0.719646146","0.000000000","0.100581846","0.000000000","0.000000000","0.000000000","0.000000000","0.171228209"
"mel073","0.02102423","0.00000000","0.00000000","0.62233032","0.00000000","0.09232415","0.00000000","0.00000000","0.00000000","0.00000000","0.26432130"
"mel452","0.02279841","0.00000000","0.00000000","0.22314090","0.00000000","0.08424458","0.00000000","0.00000000","0.21316216","0.00000000","0.45665395"
"mel317","0.05206917","0.01996066","0.02366133","0.32205115","0.00000000","0.05870461","0.00000000","0.00000000","0.03803965","0.00000000","0.48551345"
"mel099","0.022879475","0.000000000","0.000000000","0.446105053","0.000000000","0.091348547","0.005881736","0.000000000","0.021150537","0.000000000","0.412634652"
"mel119","0.015971661","0.000000000","0.000000000","0.491643921","0.000000000","0.089943872","0.000000000","0.000991768","0.021749558","0.000000000","0.379699220"
"mel156","0.09698612","0.01876519","0.03637730","0.04710905","0.08060209","0.02026734","0.31654650","0.01786520","0.06772415","0.08040189","0.21735517"
"mel274","0.047937473","0.044786068","0.008340559","0.158292763","0.151154923","0.028780710","0.066829498","0.106085178","0.037316324","0.006573281","0.343903222"
"mel113","0.006585358","0.019167982","0.000000000","0.000000000","0.097559811","0.008930113","0.000000000","0.027571851","0.010525403","0.019990081","0.809669402"
"mel372","0.02870447","0.12988467","0.00000000","0.44119379","0.00000000","0.10067012","0.00000000","0.00000000","0.04318487","0.00000000","0.25636209"
"mel431","0.1435660","0.0000000","0.0000000","0.3846233","0.0000000","0.1274000","0.0000000","0.0000000","0.1381654","0.0000000","0.2062452"
"mel361","0.0554402298","0.0647937717","0.0009314167","0.2974572120","0.0000000000","0.0253359500","0.0000000000","0.3826119830","0.0778828791","0.0000000000","0.0955465576"
"mel322","0.010077000","0.106170824","0.018817535","0.000000000","0.170295125","0.028279537","0.000000000","0.092022757","0.026433040","0.004913611","0.542990572"
"mel263","0.055135611","0.027696655","0.000000000","0.077874736","0.163629957","0.006906421","0.272455871","0.005250056","0.035925867","0.033184960","0.321939865"
"mel003","0.10665898","0.06549258","0.01842376","0.14629823","0.00000000","0.01994943","0.32467940","0.23587143","0.08262620","0.00000000","0.00000000"
"mel337","0.022792999","0.000000000","0.000000000","0.594528261","0.000000000","0.103769046","0.000000000","0.005334974","0.021006058","0.000000000","0.252568662"
"mel006","0.14077384","0.01932655","0.05365078","0.06079102","0.18554722","0.02074103","0.22545947","0.04909081","0.02862312","0.00000000","0.21599615"
"mel258","0.090908573","0.015416042","0.002879275","0.307590125","0.000000000","0.049537443","0.072100878","0.041621714","0.045541270","0.000000000","0.374404679"
"mel109","0.0000000","0.0000000","0.0000000","0.8134453","0.0000000","0.1865547","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"mel236","0.1065542000","0.0624883186","0.0147079000","0.1469940031","0.0002820119","0.0193283310","0.0000000000","0.1498616061","0.0821697909","0.0138295567","0.4037842818"
"mel404","0.04606860","0.14491902","0.00000000","0.33450981","0.00000000","0.06648294","0.00000000","0.06886726","0.03281232","0.00000000","0.30634006"
"mel276","0.03276390","0.14456193","0.00000000","0.31998910","0.00000000","0.04687177","0.00000000","0.05782524","0.05886616","0.00000000","0.33912190"
"mel045","0.02626318","0.00000000","0.00000000","0.80437175","0.00000000","0.12416752","0.00000000","0.00000000","0.03397356","0.00000000","0.01122400"
"mel050","0.04097306","0.05851571","0.00000000","0.20773786","0.02862497","0.03287732","0.00000000","0.06500824","0.03469948","0.01660894","0.51495440"
"mel394","0.02811125","0.03419486","0.00000000","0.36547339","0.00000000","0.06194977","0.00000000","0.06495514","0.02594680","0.00000000","0.41936879"
"mel244","0.02516257","0.00000000","0.00000000","0.37055721","0.00000000","0.04740001","0.00000000","0.00286697","0.04286838","0.00000000","0.51114486"
"mel007","0.1261754830","0.0276448336","0.0086917701","0.2983556526","0.0000000000","0.0652723480","0.2950174242","0.1015068346","0.0546005048","0.0002879609","0.0224471881"
"mel385","0.083404293","0.000000000","0.000000000","0.561344301","0.000000000","0.095302054","0.000000000","0.017555589","0.004621775","0.000000000","0.237771988"
"mel437","0.019777673","0.073142503","0.000000000","0.210121617","0.000000000","0.036023471","0.047104282","0.006003109","0.023800472","0.000000000","0.584026874"
"mel335","0.02579841","0.07302329","0.02325258","0.27086316","0.00000000","0.03041809","0.03952890","0.08432983","0.05668947","0.00000000","0.39609627"
"mel128","0.085638500","0.087411477","0.007729779","0.170702357","0.000000000","0.033514905","0.015368009","0.031944670","0.051751684","0.000000000","0.515938619"
"mel340","0.005828854","0.075885830","0.000000000","0.508621339","0.000000000","0.081167267","0.000000000","0.000000000","0.037399173","0.000000000","0.291097537"
"mel170","0.045899495","0.039339163","0.012880631","0.241957661","0.000000000","0.058420990","0.005435877","0.049626336","0.043756023","0.012862722","0.489821103"
"mel023","0.03321642","0.01927630","0.00000000","0.27434932","0.06774479","0.03669945","0.01671754","0.00000000","0.02923851","0.00000000","0.52275767"
"mel178","0.036316359","0.050950497","0.000000000","0.225112047","0.019121795","0.067568178","0.039990184","0.042790978","0.034983006","0.003791067","0.479375891"
"mel313","0.014999400","0.029258287","0.027961051","0.032157398","0.242683352","0.011175309","0.036049761","0.015334285","0.004616522","0.000000000","0.585764635"
"mel207","0.00000000","0.00000000","0.00000000","0.52109061","0.00000000","0.08061201","0.00000000","0.00139071","0.00000000","0.00000000","0.39690667"
"mel138","0.03233477","0.00000000","0.00000000","0.85260580","0.00000000","0.11505943","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"mel100","0.031481456","0.000000000","0.000000000","0.396269103","0.000000000","0.066631992","0.000000000","0.004243108","0.022281041","0.000000000","0.479093299"
"mel352","0.01929784","0.00000000","0.00000000","0.44552857","0.00000000","0.09207983","0.00000000","0.00000000","0.01952678","0.00000000","0.42356699"
"mel002","0.016575355","0.038315387","0.003556348","0.130437530","0.042259074","0.020537691","0.003737129","0.050261685","0.024135059","0.057583929","0.612600812"
"mel386","0.02304389","0.00000000","0.00000000","0.38763422","0.00000000","0.07147625","0.00000000","0.01072470","0.00000000","0.00000000","0.50712095"
"mel331","0.038286787","0.000000000","0.000000000","0.218317386","0.000000000","0.038349908","0.000000000","0.000000000","0.002077197","0.000000000","0.702968723"
"mel406","0.023681893","0.007610187","0.012058708","0.000000000","0.351565945","0.023060528","0.008588387","0.017949499","0.016787625","0.016236402","0.522460828"
"mel030","0.013647060","0.048002208","0.003971934","0.341448416","0.000000000","0.058860598","0.000000000","0.000000000","0.034573457","0.000000000","0.499496326"
"mel179","0.17812409","0.07468580","0.00000000","0.20699632","0.00000000","0.06252261","0.21246163","0.08478253","0.05556926","0.01412529","0.11073248"
"mel139","0.04679069","0.06566664","0.02527719","0.36537849","0.00000000","0.03178897","0.00000000","0.31909616","0.04360159","0.00000000","0.10240026"
