"","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel076","7.219881e-10","1.824917e-02","1.482806e-01","2.325517e-07","1.347352e-01","1.580836e-02","2.985467e-05","6.828966e-01"
"mel310","3.701240e-08","1.746889e-02","1.250517e-01","4.805787e-08","1.475446e-01","1.083863e-02","1.041050e-09","6.990961e-01"
"mel097","1.069456e-01","2.058208e-02","3.636565e-01","1.526586e-01","1.289456e-01","1.564537e-02","3.877534e-11","2.115661e-01"
"mel412","1.216753e-08","2.484241e-02","2.084267e-01","5.476332e-02","1.611620e-01","9.788450e-03","4.179838e-09","5.410172e-01"
"mel164","0.0926671175","0.0416676769","0.3137246069","0.2190148236","0.2463866891","0.0230150331","0.0000682829","0.0634557699"
"mel397","6.946890e-03","1.914532e-02","1.724075e-01","4.630217e-02","1.088894e-01","1.150602e-02","5.613160e-10","6.348027e-01"
"mel186","2.582352e-11","2.472010e-02","1.698339e-01","3.209071e-08","1.386043e-01","1.507482e-02","2.059996e-04","6.515609e-01"
"mel180","6.078091e-02","2.152565e-02","3.074107e-01","2.355130e-01","1.434600e-01","1.793654e-02","7.046135e-09","2.133731e-01"
"mel032","7.539862e-02","1.956642e-02","1.981773e-01","1.032147e-01","1.403601e-01","1.445269e-02","4.624761e-10","4.488302e-01"
"mel324","2.668252e-02","2.277660e-02","1.663622e-01","8.806792e-02","1.370285e-01","1.316968e-02","6.595430e-10","5.459126e-01"
"mel116","1.229854e-11","2.293659e-02","2.245593e-01","2.901296e-02","1.458356e-01","1.375783e-02","2.540728e-10","5.638977e-01"
"mel058","3.709885e-06","1.790541e-02","1.608519e-01","3.498123e-08","1.520604e-01","9.830919e-03","8.874557e-11","6.593476e-01"
"mel421","2.777005e-09","2.014334e-02","8.885307e-02","3.093932e-02","1.402998e-01","1.000149e-02","3.928666e-05","7.097237e-01"
"mel143","7.839203e-09","1.441340e-02","1.445089e-02","1.661684e-06","1.899964e-01","6.142602e-03","1.205499e-03","7.737896e-01"
"mel268","1.559696e-09","2.733717e-02","2.043995e-01","2.304459e-02","1.833601e-01","1.272388e-02","2.191509e-08","5.491347e-01"
"mel264","3.526194e-02","2.582458e-02","2.229533e-01","2.843308e-02","1.068260e-01","8.442941e-03","1.726940e-07","5.722579e-01"
