"","stroma score","immune score","estimate score","tumor purity"
"mel444","-1052.4417183"," -405.5859902","-1458.0277085","    0.9245415"
"mel117"," 810.8425503","1889.3407972","2700.1833475","   0.5391719"
"mel015"," 782.0306519"," 329.5409680","1111.5716198","   0.7191952"
"mel131","-462.0000007","-130.4875468","-592.4875475","   0.8688028"
"mel206"," -857.1965992"," -564.6636573","-1421.8602565","    0.9225053"
"mel147","-183.80303","1582.41876","1398.61573","   0.68929"
"mel425","-691.6961311","  45.5284783","-646.1676528","   0.8726775"
"mel341"," 76.2620299","317.7631701","394.0252000","  0.7882567"
"mel112"," 125.5933576","1931.3422276","2056.9355852","   0.6161733"
"mel226"," 345.2772159","2518.8865089","2864.1637248","   0.5187457"
"mel399"," 771.9523401"," 885.0396661","1656.9920062","   0.6613236"
"mel189","-293.2109047","1951.6512799","1658.4403752","   0.6611641"
"mel212","-250.3865930"," 545.0165174"," 294.6299245","   0.7971504"
"mel060","-76.2362779","783.2216218","706.9853440","  0.7591667"
"mel280","-1220.8232480","-1369.1827298","-2590.0059778","    0.9748377"
"mel012","-151.96803"," 782.95995"," 630.99192","   0.76638"
"mel025"," -896.8315867"," -639.8008083","-1536.6323950","    0.9288769"
"mel338","-137.2116387","1539.7014252","1402.4897865","   0.6888779"
"mel228","-78.1929462","124.3327197"," 46.1397736","  0.8186385"
"mel304","250.0408114","539.2621114","789.3029229","  0.7512465"
"mel344","-290.9602415","1511.0479631","1220.0877216","   0.7080369"
"mel225"," 66.0765967","679.4106974","745.4872940","  0.7554759"
"mel140","1193.0032583","1292.1698401","2485.1730984","   0.5654795"
"mel118"," -404.1639434","-1004.7887982","-1408.9527416","    0.9217724"
"mel328","-157.4389889"," 808.7030614"," 651.2640724","   0.7644651"
"mel466"," 681.5992364","2916.2908030","3597.8900394","   0.4238398"
"mel020","-129.018541","-552.802333","-681.820874","   0.875221"
"mel364","147.7762733","787.9833401","935.7596134","  0.7368847"
"mel056"," 231.7815852","1301.5503600","1533.3319452","   0.6748296"
"mel034","-1490.2897561","-1473.4091477","-2963.6989038","    0.9855931"
"mel238"," -652.4459231"," -922.6977055","-1575.1436286","    0.9309558"
"mel294"," 110.1051740","1632.8055251","1742.9106990","   0.6518111"
"mel451"," 98.2009522","-64.2238045"," 33.9771477","  0.8196625"
"mel287"," -607.3419148"," -759.2427858","-1366.5847007","    0.9193432"
"mel343","1071.6324705","2751.5044577","3823.1369282","   0.3936667"
"mel320","-149.4468363","-501.9609322","-651.4077685","   0.8730528"
"mel395"," -29.6599751","2665.9479958","2636.2880207","   0.5470471"
"mel378","  77.7683465","1486.8452385","1564.6135850","   0.6714339"
"mel252","-802.0290012"," 338.8501925","-463.1788087","   0.8592483"
"mel336","-242.9424395"," 702.0586917"," 459.1162522","   0.7823414"
"mel301"," -876.0971939","-1945.6490837","-2821.7462776","    0.9818552"
"mel457"," -946.5748456","  -76.9170441","-1023.4918898","    0.8983707"
"mel093","-1015.6755385"," -854.3183591","-1869.9938976","    0.9458822"
"mel254"," -23.2717974","-116.1157007","-139.3874982","   0.8339733"
"mel074","-374.9788152"," 438.1540232","  63.1752080","   0.8171998"
"mel065"," 78.492837","918.278524","996.771360","  0.730801"
"mel029"," 36.8363561","284.1498031","320.9861592","  0.7948086"
"mel069","-1299.7210001","-1219.3570395","-2519.0780396","    0.9724641"
"mel411","-399.8266868"," -25.6483922","-425.4750791","   0.8564039"
"mel277"," 772.0293485","1532.2084801","2304.2378287","   0.5871825"
"mel300","-1010.5354736"," -401.0111190","-1411.5465926","    0.9219199"
"mel376","-288.1115992","2206.2018379","1918.0902388","   0.6320965"
"mel005"," 823.7467497"," 542.0975540","1365.8443037","   0.6927671"
"mel107"," 117.733890","-335.806775","-218.072885","   0.840291"
"mel283","-259.2724095","1844.7638200","1585.4914106","   0.6691597"
"mel417","-1608.1150433","-1298.8831091","-2906.9981524","    0.9841513"
"mel297","-1271.6333928","-1565.6129839","-2837.2463767","    0.9822841"
"mel326","-536.1507798","  65.7589028","-470.3918770","   0.8597894"
"mel040","-1311.5875883","-1057.0203620","-2368.6079503","    0.9670798"
"mel382"," -631.6925999"," -719.6557168","-1351.3483167","    0.9184609"
"mel275","-1086.1943370"," -783.0587452","-1869.2530822","    0.9458469"
"mel396","-894.5317310","1269.4344690"," 374.9027380","   0.7899808"
"mel325","-252.4717332","1186.1299506"," 933.6582175","   0.7370932"
"mel409"," 92.5589444","647.7926972","740.3516416","  0.7559696"
"mel103","-163.5044947"," 148.3419883"," -15.1625064","   0.8237732"
"mel208"," -310.9947935"," -791.9275413","-1102.9223348","    0.9034308"
